Year,correlation,n_countries
1975,0.592794690621197,141
1976,0.5942330129682478,141
1977,0.6032325939041046,141
1978,0.5947881222282572,141
1979,0.6078997185126167,141
1980,0.6296638806051701,141
1981,0.6197144604539,141
1982,0.6293733226044089,141
1983,0.6157304142128319,141
1984,0.633089326366181,141
1985,0.6466519074472993,141
1986,0.6303396309376837,141
1987,0.6390681256750584,141
1988,0.6369488834453161,141
1989,0.6170502635499684,141
1990,0.6131116348596963,142
1991,0.6047027807548652,142
1992,0.5827098121892837,161
1993,0.594119175656844,164
1994,0.5932894870394342,164
1995,0.6159799984149871,164
1996,0.6122712220153912,164
1997,0.6163975389110483,164
1998,0.6183281048914309,164
1999,0.610942492173406,164
2000,0.6131125242687211,166
2001,0.6249313489725512,166
2002,0.6170980518687681,166
2003,0.6154553680589915,166
2004,0.6141889887533695,166
2005,0.6249478620770571,166
2006,0.623212597643718,168
2007,0.6166617219065654,168
2008,0.6089351209440124,168
2009,0.6038909788906153,168
2010,0.6081228813652183,175
2011,0.5984566815507875,175
2012,0.5958295018986164,174
2013,0.5936230570820622,174
2014,0.585140472672528,174
2015,0.5703658479525917,174
2016,0.5551740121929761,174
